dt,temperature,feels_like,temp_min,temp_max,pressure,humidity,clouds,wind_speed,wind_deg,weather_main,weather_description
2024-11-19 12:00:00,5.71,4.8,5.71,7.5,1028,37,98,1.47,310,Clouds,overcast clouds
2024-11-19 15:00:00,5.95,5.95,5.95,6.43,1028,38,89,1.32,312,Clouds,overcast clouds
2024-11-19 18:00:00,5.75,5.75,5.75,5.77,1028,39,69,0.8,304,Clouds,broken clouds
2024-11-19 21:00:00,5.59,5.59,5.59,5.59,1027,37,97,0.78,297,Clouds,overcast clouds
2024-11-20 00:00:00,6.27,6.27,6.27,6.27,1027,35,99,0.6,351,Clouds,overcast clouds
2024-11-20 03:00:00,8.3,8.3,8.3,8.3,1025,43,100,0.56,262,Clouds,overcast clouds
2024-11-20 06:00:00,9.39,9.39,9.39,9.39,1023,51,97,1.13,238,Clouds,overcast clouds
2024-11-20 09:00:00,9.6,9.6,9.6,9.6,1023,59,93,0.45,200,Clouds,overcast clouds
2024-11-20 12:00:00,8.66,8.66,8.66,8.66,1023,66,63,0.38,81,Clouds,broken clouds
2024-11-20 15:00:00,8,8,8,8,1023,69,10,0.38,97,Clear,clear sky
2024-11-20 18:00:00,7.48,7.48,7.48,7.48,1022,73,8,0.32,22,Clear,clear sky
2024-11-20 21:00:00,7,7,7,7,1021,75,7,0.5,102,Clear,clear sky
2024-11-21 00:00:00,8.23,8.23,8.23,8.23,1022,70,6,0.47,183,Clear,clear sky
2024-11-21 03:00:00,12.04,10.68,12.04,12.04,1021,53,6,3.64,282,Clear,clear sky
2024-11-21 06:00:00,12.89,11.36,12.89,12.89,1019,43,8,5.08,281,Clear,clear sky
2024-11-21 09:00:00,11.89,10.39,11.89,11.89,1019,48,6,4.21,271,Clear,clear sky
2024-11-21 12:00:00,10.88,9.64,10.88,10.88,1020,62,6,2.94,282,Clear,clear sky
2024-11-21 15:00:00,9.53,7.46,9.53,9.53,1020,58,4,3.93,301,Clear,clear sky
2024-11-21 18:00:00,8.1,5.66,8.1,8.1,1021,52,2,4.01,299,Clear,clear sky
2024-11-21 21:00:00,6.5,3.99,6.5,6.5,1021,49,0,3.5,300,Clear,clear sky
2024-11-22 00:00:00,6.31,3.3,6.31,6.31,1023,40,0,4.33,311,Clear,clear sky
2024-11-22 03:00:00,8.38,5.57,8.38,8.38,1023,26,0,4.98,319,Clear,clear sky
2024-11-22 06:00:00,8.85,5.84,8.85,8.85,1023,23,0,5.82,321,Clear,clear sky
2024-11-22 09:00:00,7.08,4.21,7.08,7.08,1024,31,0,4.41,320,Clear,clear sky
2024-11-22 12:00:00,5.8,3.61,5.8,5.8,1026,33,0,2.8,320,Clear,clear sky
2024-11-22 15:00:00,5.35,5.35,5.35,5.35,1026,34,0,1.12,345,Clear,clear sky
2024-11-22 18:00:00,4.9,4.9,4.9,4.9,1027,39,0,1.2,10,Clear,clear sky
2024-11-22 21:00:00,4.42,4.42,4.42,4.42,1027,46,0,0.92,39,Clear,clear sky
2024-11-23 00:00:00,5.18,5.18,5.18,5.18,1029,48,0,1.19,57,Clear,clear sky
2024-11-23 03:00:00,8.42,8.42,8.42,8.42,1029,36,0,1.03,71,Clear,clear sky
2024-11-23 06:00:00,9.93,9.93,9.93,9.93,1028,30,0,0.98,66,Clear,clear sky
2024-11-23 09:00:00,9.42,9.42,9.42,9.42,1028,32,0,0.74,35,Clear,clear sky
